amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle stability
0.2 0.2 0.0667 -0.0667 0.8133 0.5467 0.2 0.8 2 15 0.366969 0.803665 487.275 
0.2 0.2 0.0667 -0.0667 0.8133 0.5267 0.2 0.8 2 15 0.0137885 0.542429 478.907 
0.2 0.2 0.0667 -0.0667 0.8133 0.5067 0.2 0.8 2 15 0.294945 0.72513 482.535 
0.2 0.2 0.0667 -0.0667 0.8133 0.4867 0.2 0.8 2 15 0.151824 0.772563 484.62 
0.2 0.2 0.0667 -0.0667 0.8133 0.4667 0.2 0.8 2 4.398 0.124713 0.168745 468.919 
0.2 0.2 0.0667 -0.0667 0.8133 0.4467 0.2 0.8 2 4.59 0.0220079 0.169829 457.537 
0.2 0.2 0.0667 -0.0667 0.8133 0.4267 0.2 0.8 2 15 0.218956 0.786745 485.896 
0.2 0.2 0.0667 -0.0667 0.8133 0.4067 0.2 0.8 2 15 0.0988848 0.781794 483.52 
0.2 0.2 0.0667 -0.0667 0.8133 0.3867 0.2 0.8 2 8.486 0 0.163467 470.005 
0.2 0.2 0.0667 -0.0667 0.8133 0.3667 0.2 0.8 2 15 0.328769 0.806546 484.253 
0.2 0.2 0.0667 -0.0667 0.8133 0.3467 0.2 0.8 2 15 0.409331 0.744747 484.857 
0.2 0.2 0.0667 -0.0667 0.8133 0.3267 0.2 0.8 2 15 0.335191 0.77612 484.163 
0.2 0.2 0.0667 -0.0667 0.8133 0.3067 0.2 0.8 2 15 0.149606 0.786451 486.101 
0.2 0.2 0.0667 -0.0667 0.8133 0.2867 0.2 0.8 2 15 0.31827 0.789135 485.679 
0.2 0.2 0.0667 -0.0667 0.8133 0.2667 0.2 0.8 2 15 0.205092 0.771349 479.748 
0.2 0.2 0.0667 -0.0667 0.8133 0.2467 0.2 0.8 2 15 0.422965 0.754139 483.418 
0.2 0.2 0.0667 -0.0667 0.8133 0.2267 0.2 0.8 2 15 0.310034 0.814691 487.771 
0.2 0.2 0.0667 -0.0667 0.8133 0.2067 0.2 0.8 2 15 0.517835 0.816561 485.659 
0.2 0.2 0.0667 -0.0667 0.8133 0.1867 0.2 0.8 2 15 0.255288 0.815745 483.568 
0.2 0.2 0.0667 -0.0667 0.8133 0.1667 0.2 0.8 2 15 0.224396 0.819742 486.394 
0.2 0.2 0.0667 -0.0667 0.7933 0.5467 0.2 0.8 2 15 0.351498 0.834159 486.093 
0.2 0.2 0.0667 -0.0667 0.7933 0.5267 0.2 0.8 2 15 0.230255 0.813517 484.266 
0.2 0.2 0.0667 -0.0667 0.7933 0.5067 0.2 0.8 2 15 0.448944 0.760569 485.507 
0.2 0.2 0.0667 -0.0667 0.7933 0.4867 0.2 0.8 2 15 0.45455 0.828423 486.029 
0.2 0.2 0.0667 -0.0667 0.7933 0.4667 0.2 0.8 2 15 0.285198 0.776708 485.582 
0.2 0.2 0.0667 -0.0667 0.7933 0.4467 0.2 0.8 2 15 0.235795 0.777408 486.635 
0.2 0.2 0.0667 -0.0667 0.7933 0.4267 0.2 0.8 2 15 0.111519 0.778369 481.684 
0.2 0.2 0.0667 -0.0667 0.7933 0.4067 0.2 0.8 2 15 0.0911052 0.780529 484.905 
0.2 0.2 0.0667 -0.0667 0.7933 0.3867 0.2 0.8 2 15 0.0362503 0.528216 477.004 
0.2 0.2 0.0667 -0.0667 0.7933 0.3667 0.2 0.8 2 8.686 0.191206 0.161984 469.244 
0.2 0.2 0.0667 -0.0667 0.7933 0.3467 0.2 0.8 2 15 0.17093 0.79037 485.98 
0.2 0.2 0.0667 -0.0667 0.7933 0.3267 0.2 0.8 2 13.768 0 0.164213 477.062 
0.2 0.2 0.0667 -0.0667 0.7933 0.3067 0.2 0.8 2 7.226 0.070698 0.16317 474.91 
0.2 0.2 0.0667 -0.0667 0.7933 0.2867 0.2 0.8 2 15 0.0982202 0.797331 486.767 
0.2 0.2 0.0667 -0.0667 0.7933 0.2667 0.2 0.8 2 15 0.130434 0.790831 485.542 
0.2 0.2 0.0667 -0.0667 0.7933 0.2467 0.2 0.8 2 15 0.422166 0.810657 483.946 
0.2 0.2 0.0667 -0.0667 0.7933 0.2267 0.2 0.8 2 15 0.202148 0.78656 483.27 
0.2 0.2 0.0667 -0.0667 0.7933 0.2067 0.2 0.8 2 15 0.26241 0.81208 486.444 
